doi,cluster_gemini,secondary_cluster_gemini,confidence_gemini,cluster_manual,agree,agree_any,cluster_gpt,confidence_gpt,secondary_cluster_gpt,field_gpt,secondary_field_gpt,gem_vs_manual,gpt_vs_manual,gem_vs_gpt
10.1037/0022-3514.94.2.94.2.231,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.2.399,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.615,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/1948550619843931,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,differential_personality_diagnostics,TRUE,TRUE,TRUE
10.1073/pnas.1505067112,economics_business,psychology,0.85,psychology,FALSE,TRUE,psychology,0.73,economics_business,social_psychology,NA,FALSE,TRUE,FALSE
10.1002/(SICI)1099-0771(199806)11:2%3C107::AID-BDM292%3E3.0.CO;2-Y,psychology,economics_business,0.9,economics_business,FALSE,TRUE,psychology,0.85,NA,cognitive_psychology,NA,FALSE,FALSE,TRUE
10.1111/j.1467-9280.2008.02062.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02066.x,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02227.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1163/156853706776931222,philosophy,psychology,0.85,psychology,FALSE,TRUE,psychology,0.9,cultural_studies,cognitive_psychology,NA,FALSE,TRUE,FALSE
10.1037/0022-3514.94.2.94.2.196,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.80,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797611414726,psychology,political_science,0.99,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.3.460,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,social_psychology,TRUE,TRUE,TRUE
10.1037/0022-3514.94.1.116,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1016/0010-0285(83)90002-6,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1126/science.1238041,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.92,economics_business,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.600,psychology,economics_business,0.99,psychology,TRUE,TRUE,psychology,0.95,economics_business,social_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02081.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1607330114,psychology,health_sciences_general,0.95,psychology,TRUE,TRUE,psychology,0.92,health_sciences_general,social_psychology,NA,TRUE,TRUE,TRUE
10.1038/s41598-019-57204-1,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,methods_evaluation_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.50,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02092.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,social_psychology,TRUE,TRUE,TRUE
10.1177/0956797613494853,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,developmental_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/a0016795,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797615608267,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02089.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797617705399,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.3.396,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02078.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02044.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02077.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,biological_neuropsychology,TRUE,TRUE,TRUE
10.1111/j.1551-6709.2010.01164.x,psychology,general_comparative_literature_linguistics,0.95,psychology,TRUE,TRUE,psychology,0.95,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797611429579,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797620927967,psychology,general_comparative_literature_linguistics,0.99,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.1.16,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/1948550612457688,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.65,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02098.x,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.cognition.2013.02.008,philosophy,psychology,0.85,philosophy,TRUE,TRUE,psychology,0.95,philosophy,cognitive_psychology,NA,TRUE,FALSE,FALSE
10.1037/0022-3514.94.3.382,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02052.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02040.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.230,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.128,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1007/s40732-020-00453-8,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,clinical_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1508932113,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1017/S1366728914000273,psychology,general_comparative_literature_linguistics,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.1.158,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.4148/1944-9771.1299,psychology,economics_business,0.9,psychology,TRUE,TRUE,psychology,0.86,economics_business,social_psychology,clinical_psychology,TRUE,TRUE,TRUE
10.1177/0956797610397956,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.718,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,differential_personality_diagnostics,developmental_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.97,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.1.1,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,biological_neuropsychology,TRUE,TRUE,TRUE
10.1016/j.cognition.2017.06.025,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02080.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2007.02004.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,biological_neuropsychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02091.x,psychology,economics_business,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,biological_neuropsychology,TRUE,TRUE,TRUE
10.1037/0022-3514.94.1.48,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.3.439,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.2.245,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797619854706,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1519401113,psychology,sociology_social_sciences,0.95,psychology,TRUE,TRUE,psychology,0.9,sociology_social_sciences,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797618780643,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1805327115,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.92,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.186,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.83.5.1239,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.1.91,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.672,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,differential_personality_diagnostics,TRUE,TRUE,TRUE
10.1126/science.1250830,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.95,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797612449177,psychology,political_science,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797615588195,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1722664115,psychology,political_science,0.85,psychology,TRUE,TRUE,psychology,0.85,political_science,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1177/0956797615572231,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1706913114,psychology,media_communication_studies,0.95,psychology,TRUE,TRUE,psychology,0.95,media_communication_studies,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1805284115,psychology,sociology_social_sciences,0.9,psychology,TRUE,TRUE,psychology,0.92,sociology_social_sciences,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/xge0001195,psychology,general_comparative_literature_linguistics,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,developmental_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2009.02426.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1523586113,psychology,NA,0.98,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797611434537,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797616669947,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1177/0956797611435919,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,differential_personality_diagnostics,social_psychology,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02039.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02046.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.5.871,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037//0022-3514.83.1.44,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02043.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,developmental_psychology,TRUE,TRUE,TRUE
10.1037/a0013748,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.74.3.774,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02042.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.2009030117,psychology,science_studies,0.95,psychology,TRUE,TRUE,psychology,0.92,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1038/nclimate2093,psychology,sociology_social_sciences,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,social_psychology,TRUE,TRUE,TRUE
10.1073/pnas.1216438110,psychology,general_comparative_literature_linguistics,0.9,psychology,TRUE,TRUE,psychology,0.94,general_comparative_literature_linguistics,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1516047113,psychology,human_medicine,0.95,psychology,TRUE,TRUE,psychology,0.86,health_sciences_general,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1705238114,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.95,political_science,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.3.495,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.3.524,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.95.2.420,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.219,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1610834113,psychology,political_science,0.95,psychology,TRUE,TRUE,psychology,0.85,political_science,social_psychology,NA,TRUE,TRUE,TRUE
10.1038/s41598-018-30314-y,psychology,physics_astronomy,0.9,psychology,TRUE,TRUE,psychology,0.92,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/01461672952111004,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,methods_evaluation_psychology,TRUE,TRUE,TRUE
10.1073/pnas.2218961120,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.93,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.3758/s13428-021-01694-3,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.97,NA,methods_evaluation_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0019006,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,differential_personality_diagnostics,cognitive_psychology,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02049.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1501592112,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.3758/BF03197186,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/0022-1031(77)90049-X,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.jml.2006.02.004,psychology,general_comparative_literature_linguistics,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1707040114,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.86,economics_business,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1371/journal.pone.0071475,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.92,health_sciences_general,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.647,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1516868113,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.cognition.2016.06.011,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.jesp.2018.05.006,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2006.01704.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02061.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,biological_neuropsychology,NA,TRUE,TRUE,TRUE
10.1111/j.1468-0017.2006.00297.x,psychology,philosophy,0.9,philosophy,FALSE,TRUE,psychology,0.85,philosophy,cognitive_psychology,NA,FALSE,FALSE,TRUE
10.1126/science.1190792,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1002/bdm.586,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.2014505117,psychology,philosophy,0.95,philosophy,FALSE,TRUE,psychology,0.95,NA,cognitive_psychology,social_psychology,FALSE,FALSE,TRUE
10.1016/j.neuroimage.2006.11.048,psychology,biology,0.95,psychology,TRUE,TRUE,psychology,0.92,NA,biological_neuropsychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1371/journal.pone.0154854,psychology,general_comparative_literature_linguistics,0.85,psychology,TRUE,TRUE,psychology,0.85,general_comparative_literature_linguistics,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797615573516,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.3.478,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0032108,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.obhdp.2004.12.002,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.146,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797614563108,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,cognitive_psychology,social_psychology,TRUE,TRUE,TRUE
10.1037/0096-3445.136.4.569,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.249,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0146167214524992,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1126/science.1186799,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.3.429,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.3389/fpsyg.2014.01276,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/0022-3514.95.1.76,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.2.430,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0021-9010.77.4.419,psychology,economics_business,0.99,psychology,TRUE,TRUE,psychology,0.96,NA,occupational_organisational_business_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1177/0956797619879441,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,developmental_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1016/j.jesp.2020.104080,psychology,education,0.98,psychology,TRUE,TRUE,psychology,0.96,education,social_psychology,educational_psychology,TRUE,TRUE,TRUE
10.1177/0956797616685771,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0031047,psychology,economics_business,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.0908963106,psychology,general_comparative_literature_linguistics,0.85,psychology,TRUE,TRUE,psychology,0.95,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02053.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,biological_neuropsychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1073/pnas.1707719114,psychology,sociology_social_sciences,0.95,economics_business,FALSE,FALSE,psychology,0.9,sociology_social_sciences,social_psychology,NA,FALSE,FALSE,TRUE
10.1111/j.1467-9280.2008.02093.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,differential_personality_diagnostics,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.237,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.2.353,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797618806296,psychology,general_comparative_literature_linguistics,0.99,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02057.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.3.516,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0146167207309195,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0015960,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,differential_personality_diagnostics,TRUE,TRUE,TRUE
10.1126/science.1221936,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
