doi,abstract,title,source_display_name,cluster_id,confidence,secondary_cluster_id,secondary_confidence,reasoning,psychology_field_id,psychology_field_confidence,psychology_secondary_field_id,psychology_secondary_field_confidence,psychology_field_reasoning,field_id,field_confidence,secondary_field_id,secondary_field_confidence,field_reasoning
10.1093/qje/qjr034,"While evidence suggests that people evaluate outcomes with respect to reference points, little is known about what determines them. We conduct two experiments that show that reference points are determined, at least in part, by expectations. In an exchange experiment, we endow subjects with an item and randomize the probability they will be allowed to trade. Subjects that are less likely to be able to trade are more likely to choose to keep their item. In a valuation experiment, we randomly assign subjects a high or low probability of obtaining an item and elicit their willingness-to-accept for it. The high probability treatment increases valuation of the item by 20--30%. Copyright 2011, Oxford University Press.",Expectations as Endowments: Evidence on Reference-Dependent Preferences from Exchange and Valuation Experiments *,The Quarterly Journal of Economics,economics_business,0.99,NA,NA,"We need to classify article. Journal: The Quarterly Journal of Economics, which is a top economics journal. So primary cluster: economics_business. The article is about reference-dependent preferences, expectations, experimental economics. It's framed with economic constructs (preferences, trade, valuation, endowments). So cluster: ""economics_business"". Confidence high, maybe 0.99.

Is there any secondary? Could be psychology (behavioral economics) but it's framed as economics. According to notes, behavioural/experimental economics when framed with economic constructs belongs to economics. So no secondary.

Return JSON.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1177/0956797618760784,"People perceive morality to be distinctively human, with immorality representing a lack of full humanness. In eight experiments, we examined the link between immorality and self-dehumanization, testing both (a) the causal role of immoral behavior on self-dehumanization and (b) the causal role of self-dehumanization on immoral behavior. Studies 1a to 1d showed that people feel less human after behaving immorally and that these effects were not driven by having a negative experience but were unique to experiences of immorality (Study 1d). Studies 2a to 2c showed that self-dehumanization can lead to immoral and antisocial behavior. Study 3 highlighted how self-dehumanization can sometimes produce downward spirals of immorality, demonstrating initial unethical behavior leading to self-dehumanization, which in turn promotes continued dishonesty. These results demonstrate a clear relationship between self-dehumanization and unethical behavior, and they extend previous theorizing on dehumanization.",The Link Between Self-Dehumanization and Immoral Behavior,Psychological Science,psychology,0.98,NA,NA,"We need to classify. Journal is Psychological Science, which is a psychology journal. So primary cluster is psychology. The article deals with self-dehumanization, immoral behavior, experiments, causal links. That's psychology (social psychology). So cluster_id = ""psychology"". Confidence high, maybe 0.98. No secondary needed.",social_psychology,0.9,NA,NA,"We need to classify. Article about self-dehumanization and immoral behavior. This is about moral psychology, self-perception, dehumanization, immoral behavior. Likely falls under Social Psychology (attitudes, prejudice, dehumanization, moral behavior). Could also be considered Moral Psychology, which is often under Social Psychology. Not occupational, not clinical, not developmental, not cognitive (though some cognitive aspects). The journal Psychological Science is general, so we rely on title/abstract. The core contribution is about self-dehumanization (a social cognition concept) and immoral behavior, linking self-perception to antisocial behavior. That is social psychology. So primary field: social_psychology. Confidence maybe 0.9.

Any secondary? Could also be differential/personality? Self-dehumanization is a self-concept, but it's more about social identity and dehumanization. Could be also clinical? No. So secondary null.

Return JSON.",social_psychology,0.9,NA,NA,"We need to classify. Article about self-dehumanization and immoral behavior. This is about moral psychology, self-perception, dehumanization, immoral behavior. Likely falls under Social Psychology (attitudes, prejudice, dehumanization, moral behavior). Could also be considered Moral Psychology, which is often under Social Psychology. Not occupational, not clinical, not developmental, not cognitive (though some cognitive aspects). The journal Psychological Science is general, so we rely on title/abstract. The core contribution is about self-dehumanization (a social cognition concept) and immoral behavior, linking self-perception to antisocial behavior. That is social psychology. So primary field: social_psychology. Confidence maybe 0.9.

Any secondary? Could also be differential/personality? Self-dehumanization is a self-concept, but it's more about social identity and dehumanization. Could be also clinical? No. So secondary null.

Return JSON."
10.1177/0956797618788882,"While inferences of traits from unfamiliar faces prominently reveal stereotypes, some facial inferences also correlate with real-world outcomes. We investigated whether facial inferences are associated with an important real-world outcome closely linked to the face bearer's behavior: political corruption. In four preregistered studies ( N = 325), participants made trait judgments of unfamiliar government officials on the basis of their photos. Relative to peers with clean records, federal and state officials convicted of political corruption (Study 1) and local officials who violated campaign finance laws (Study 2) were perceived as more corruptible, dishonest, selfish, and aggressive but similarly competent, ambitious, and masculine (Study 3). Mediation analyses and experiments in which the photos were digitally manipulated showed that participants' judgments of how corruptible an official looked were causally influenced by the face width of the stimuli (Study 4). The findings shed new light on the complex causal mechanisms linking facial appearances with social behavior.",Inferring Whether Officials Are Corruptible From Looking at Their Faces,Psychological Science,psychology,0.97,NA,NA,"We need to classify. Journal is Psychological Science, which is a psychology journal. So primary cluster: psychology. The article is about facial judgments and political corruption, linking psychology (social perception) and political science maybe. But core contribution is about social perception, trait inference, which is psychology (social psychology). So primary: psychology. Secondary? Could be political science because about corruption, but the focus is on perception, not political processes. Probably no secondary needed. Confidence high, say 0.97. Return JSON.",social_psychology,0.92,NA,NA,"We need to classify. Article about facial judgments linking to corruption. This is about stereotypes, social perception, trait inference from faces, linking to social behavior. Likely Social Psychology (stereotypes, prejudice). Could also be Cognitive (face perception) but focus on social judgments and stereotypes. Journal Psychological Science is general, but content is social perception. So primary field: social_psychology.

Confidence maybe 0.9.

Secondary? Could also be cognitive (face perception) but main is social. Might not need secondary.

Return JSON.",social_psychology,0.92,NA,NA,"We need to classify. Article about facial judgments linking to corruption. This is about stereotypes, social perception, trait inference from faces, linking to social behavior. Likely Social Psychology (stereotypes, prejudice). Could also be Cognitive (face perception) but focus on social judgments and stereotypes. Journal Psychological Science is general, but content is social perception. So primary field: social_psychology.

Confidence maybe 0.9.

Secondary? Could also be cognitive (face perception) but main is social. Might not need secondary.

Return JSON."
10.1257/aer.101.2.819,"This paper provides the first experimental test of Edward Lazear's (1979) model of deferred compensation. We examine the relation ship between firms' wage offers and workers' effort supply in a multi-period environment. If firms can ex ante commit to a wage schedule with deferred compensation, workers should respond by supplying sufficient effort to avoid dismissal. We contrast this full-commitment case to controls with no commitment and computer-generated wages in order to examine the roles of monetary incentives, social preferences, and reciprocity. Finally, we examine a setup without formal commitment, but where firms can build a reputation for paying deferred wages. (JEL D86, J22, J31, J33, J41)",Deferred Compensation in Multiperiod Labor Contracts: An Experimental Test of Lazear's Model,American Economic Review,economics_business,0.99,NA,NA,"We need to classify article. Journal is American Economic Review, clearly economics. Article about experimental test of Lazear's model, labor contracts, deferred compensation. It's economics, experimental economics with economic framing (wage schedules, incentives). So primary cluster: economics_business. Confidence high, maybe 0.99. Not multidisciplinary. Could also be psychology if focusing on social preferences, reciprocity, but the framing is economic (JEL codes). So primary economics. No secondary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/j.1467-9280.2008.02069.x,"When learning new words, do children use a speaker's eye gaze because it reveals referential intent? We conducted two experiments that addressed this question. In Experiment 1, the experimenter left while two novel objects were placed where the child could see both, but the experimenter would be able to see only one. The experimenter returned, looked directly at the mutually visible object, and said either, “There's the [novel word]!” or “Where's the [novel word]?” Two- through 4-year-olds selected the target of the speaker's gaze more often on there trials than on where trials, although only the older children identified the referent correctly at above-chance levels on trials of both types. In Experiment 2, the experimenter placed a novel object where only the child could see it and left while the second object was similarly hidden. When she returned and asked, “Where's the [novel word]?” 2- through 4-year-olds chose the second object at above-chance levels. Preschoolers do not blindly follow gaze, but consider the linguistic and pragmatic context when learning a new word.",Preschoolers' Perspective Taking in Word Learning,Psychological Science,psychology,0.99,NA,NA,"We need to classify. Journal is Psychological Science, which is a psychology journal. So primary cluster: psychology. Confidence high. No secondary. Return JSON.",developmental_psychology,0.92,NA,NA,"We need to classify. Article about preschoolers perspective taking in word learning, gaze, referential intent. Journal Psychological Science is a general psychology journal, but article is about child development, language acquisition, perspective taking. Subfield likely Developmental Psychology (development across lifespan, childhood). Could also be Cognitive Psychology (language, perspective taking). But developmental focus: preschoolers, word learning, perspective taking. Developmental Psychology includes cognitive development. So primary field: developmental_psychology. Confidence high, maybe 0.9. No secondary needed.",developmental_psychology,0.92,NA,NA,"We need to classify. Article about preschoolers perspective taking in word learning, gaze, referential intent. Journal Psychological Science is a general psychology journal, but article is about child development, language acquisition, perspective taking. Subfield likely Developmental Psychology (development across lifespan, childhood). Could also be Cognitive Psychology (language, perspective taking). But developmental focus: preschoolers, word learning, perspective taking. Developmental Psychology includes cognitive development. So primary field: developmental_psychology. Confidence high, maybe 0.9. No secondary needed."
10.1177/0956797615625640,"The past decade has seen a rise in both economic insecurity and frequency of physical pain. The current research reveals a causal connection between these two growing and consequential social trends. In five studies, we found that economic insecurity produced physical pain and reduced pain tolerance. In a sixth study, with data from 33,720 geographically diverse households across the United States, economic insecurity predicted consumption of over-the-counter painkillers. The link between economic insecurity and physical pain emerged when people experienced the insecurity personally (unemployment), when they were in an insecure context (they were informed that their state had a relatively high level of unemployment), and when they contemplated past and future economic insecurity. Using both experimental-causal-chain and measurement-of-mediation approaches, we also established that the psychological experience of lacking control helped generate the causal link from economic insecurity to physical pain. Meta-analyses including all of our studies testing the link from economic insecurity to physical pain revealed that this link is reliable. Overall, the findings show that it physically hurts to be economically insecure.",Economic Insecurity Increases Physical Pain,Psychological Science,psychology,0.95,health_sciences_general,0.6,"We need to classify. Journal is Psychological Science, which is a psychology journal. So primary cluster is psychology. The article deals with economic insecurity (economic factor) and physical pain, with psychological mechanisms (lack of control). It's within psychology, maybe health psychology, but still psychology. Could also be health sciences? But journal is psychology, so primary is psychology. Multidisciplinary? It touches economics (economic insecurity) but framed as psychological experience. The primary is psychology. Secondary could be economics & business? The article uses economic insecurity as variable, but the focus is on psychological mechanisms and health outcomes. Might be considered health sciences? But health sciences is about public health, health promotion. This is more about psychological experience of economic insecurity causing pain. So primary psychology, secondary maybe health sciences (general) or economics & business. The guidelines: If article genuinely spans two disciplines, also assign secondary. This article spans psychology and health (pain) and economics. But the core contribution is psychological mechanisms linking economic insecurity to pain. So primary psychology, secondary health sciences? The health sciences cluster is for public health, health promotion, health management, health economics (if not clearly economics). This is about pain, health outcomes, but not public health per se. Could be health sciences (general). However, the article is in Psychological Science, so likely considered psychology. I'd assign secondary cluster as health_sciences_general with lower confidence. Or maybe economics & business? The article uses economic insecurity but not economic theory; it's about psychological experience of lacking control. So secondary maybe health sciences. Let's choose secondary health_sciences_general.

Confidence: primary high, maybe 0.95. Secondary lower, maybe 0.6.

Return JSON.",social_psychology,0.75,cognitive_psychology,0.6,"We need to classify. Article about economic insecurity leading to physical pain, focusing on psychological experience of lacking control. Journal Psychological Science is a general psychology journal. The content: economic insecurity (social/economic factor) affecting physical pain via perceived control. This is about stress, health, pain perception. Could be health psychology, but not listed. Which subfield best? Could be social psychology (social trends, economic insecurity as social factor) but also involves perception of pain (biological/neuropsychology). However primary contribution seems to be linking socioeconomic stress to physical pain via perceived control, a psychological mechanism. This is more about health psychology, which is not a listed field. Could be social psychology (attitudes, social influence) but not exactly. Could be cognitive psychology (perception of pain, control). But the focus is on economic insecurity (social factor) and its effect on physical pain, mediated by perceived control (psychological). Might be social psychology because it deals with social trends and economic insecurity as a social condition. However the outcome is physical pain, which is more biological. But the article is about psychological experience of lacking control, which is a cognitive/affective process. The primary field likely ""social_psychology"" because it examines social conditions (economic insecurity) and their psychological impact. However could also be ""biological_neuropsychology"" because of pain perception. But the article does not involve brain imaging, just self-reported pain. So likely social psychology.

Check criteria: Social Psychology includes attitudes, persuasion, social influence, stereotypes, prejudice, group dynamics, social cognition. Economic insecurity is a social condition, but the study is about how it influences pain via perceived control. Could be considered health psychology, but not in list. Social psychology is best.

Confidence maybe 0.75.

Secondary field? Could be ""cognitive_psychology"" because of perceived control and pain perception. But the article is about social factor causing pain, mediated by control (cognitive). Might be genuinely spanning social and cognitive. But primary is social. Secondary could be cognitive. Provide secondary field id ""cognitive_psychology"" with confidence 0.6.

Return JSON.",social_psychology,0.75,cognitive_psychology,0.6,"We need to classify. Article about economic insecurity leading to physical pain, focusing on psychological experience of lacking control. Journal Psychological Science is a general psychology journal. The content: economic insecurity (social/economic factor) affecting physical pain via perceived control. This is about stress, health, pain perception. Could be health psychology, but not listed. Which subfield best? Could be social psychology (social trends, economic insecurity as social factor) but also involves perception of pain (biological/neuropsychology). However primary contribution seems to be linking socioeconomic stress to physical pain via perceived control, a psychological mechanism. This is more about health psychology, which is not a listed field. Could be social psychology (attitudes, social influence) but not exactly. Could be cognitive psychology (perception of pain, control). But the focus is on economic insecurity (social factor) and its effect on physical pain, mediated by perceived control (psychological). Might be social psychology because it deals with social trends and economic insecurity as a social condition. However the outcome is physical pain, which is more biological. But the article is about psychological experience of lacking control, which is a cognitive/affective process. The primary field likely ""social_psychology"" because it examines social conditions (economic insecurity) and their psychological impact. However could also be ""biological_neuropsychology"" because of pain perception. But the article does not involve brain imaging, just self-reported pain. So likely social psychology.

Check criteria: Social Psychology includes attitudes, persuasion, social influence, stereotypes, prejudice, group dynamics, social cognition. Economic insecurity is a social condition, but the study is about how it influences pain via perceived control. Could be considered health psychology, but not in list. Social psychology is best.

Confidence maybe 0.75.

Secondary field? Could be ""cognitive_psychology"" because of perceived control and pain perception. But the article is about social factor causing pain, mediated by control (cognitive). Might be genuinely spanning social and cognitive. But primary is social. Secondary could be cognitive. Provide secondary field id ""cognitive_psychology"" with confidence 0.6.

Return JSON."
10.1073/pnas.1701916114,"Free will is a cornerstone of our society, and psychological research demonstrates that questioning its existence impacts social behavior. In six studies, we tested whether believing in free will is related to the correspondence bias, which reflects people's automatic tendency to overestimate the influence of internal as compared to external factors when interpreting others' behavior. All studies demonstrate a positive relationship between the strength of the belief in free will and the correspondence bias. Moreover, in two experimental studies, we showed that weakening participants' belief in free will leads to a reduction of the correspondence bias. Finally, the last study demonstrates that believing in free will predicts prescribed punishment and reward behavior, and that this relation is mediated by the correspondence bias. Overall, these studies show that believing in free will impacts fundamental social-cognitive processes that are involved in the understanding of others' behavior.",Belief in free will affects causal attributions when judging others’ behavior,Proceedings of the National Academy of Sciences,psychology,0.97,NA,NA,"We need to classify. Journal is PNAS, multidisciplinary. Use title/abstract. This is about belief in free will affecting causal attributions, correspondence bias, social cognition. This is psychology: social psychology. So primary cluster: psychology. Confidence high, maybe 0.97. Any secondary? Could be sociology? It's about social cognition, but it's individual-level belief influencing attribution, not social structures. So likely only psychology. No secondary. Return JSON.",social_psychology,0.94,cognitive_psychology,0.58,"We need to classify. Article about belief in free will affecting causal attributions when judging others' behavior. This is about social cognition, attribution, correspondence bias, which is a social psychology topic (social cognition, attitudes). It's not occupational. It's about social-cognitive processes, but also about free will belief (philosophical). The core contribution is about how belief influences attribution bias, which is a social psychology phenomenon. Could also be cognitive psychology? Attribution is social cognition, but also cognitive processes. However the description says ""social-cognitive processes"" and ""understanding of others' behavior"". Social psychology includes social cognition. So primary field: social_psychology.

Confidence high, maybe 0.95.

Secondary? Could be cognitive_psychology because attribution involves cognitive processes. But the article is about social behavior and bias, so primary social. Might also be cognitive, but not necessary. The instruction: assign secondary only if genuinely spans two subfields. This could be considered both social and cognitive. But the core is social. Might assign secondary cognitive with lower confidence 0.6. However guidelines: ""If interdisciplinary, pick the subfield that best fits the core psychological contribution."" Secondary only if genuinely spans two subfields. This does span social and cognitive. Could include secondary. Let's include secondary cognitive.

Return JSON.",social_psychology,0.94,cognitive_psychology,0.58,"We need to classify. Article about belief in free will affecting causal attributions when judging others' behavior. This is about social cognition, attribution, correspondence bias, which is a social psychology topic (social cognition, attitudes). It's not occupational. It's about social-cognitive processes, but also about free will belief (philosophical). The core contribution is about how belief influences attribution bias, which is a social psychology phenomenon. Could also be cognitive psychology? Attribution is social cognition, but also cognitive processes. However the description says ""social-cognitive processes"" and ""understanding of others' behavior"". Social psychology includes social cognition. So primary field: social_psychology.

Confidence high, maybe 0.95.

Secondary? Could be cognitive_psychology because attribution involves cognitive processes. But the article is about social behavior and bias, so primary social. Might also be cognitive, but not necessary. The instruction: assign secondary only if genuinely spans two subfields. This could be considered both social and cognitive. But the core is social. Might assign secondary cognitive with lower confidence 0.6. However guidelines: ""If interdisciplinary, pick the subfield that best fits the core psychological contribution."" Secondary only if genuinely spans two subfields. This does span social and cognitive. Could include secondary. Let's include secondary cognitive.

Return JSON."
10.1111/nous.12017,"Do stakes affect knowledge ascription?According to a prominent claim in recent epistemology, people are less likely to ascribe knowledge to a high stakes subject for whom the practical consequences of error are severe, than to a low stakes subject for whom the practical consequences of error are slight, even when ""traditional"" epistemic factors like evidence and belief are held fixed.In short:Folk stakes sensitivity: All else equal, people are less likely to ascribe knowledge to a high stakes subject than to a low stakes subject.","Knowledge, Stakes, and Mistakes",Noûs,philosophy,0.99,NA,NA,"We need to classify article. Journal title: Noûs. That's a philosophy journal (epistemology). So cluster: philosophy. Confidence high. Not multidisciplinary. So primary cluster philosophy, confidence 0.99. secondary null.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1257/aer.102.5.2018,"Organ donations from deceased donors provide the majority of transplanted organs in the United States, and one deceased donor can save numerous lives by providing multiple organs. Nevertheless, most Americans are not registered organ donors despite the relative ease of becoming one. We study in the laboratory an experimental game modeled on the decision to register as an organ donor and investigate how changes in the management of organ waiting lists might impact donations. We find that an organ allocation policy giving priority on waiting lists to those who previously registered as donors has a significant positive impact on registration.",Organ Allocation Policy and the Decision to Donate,American Economic Review,economics_business,0.98,NA,NA,"We need to classify based on journal title. Journal is ""American Economic Review"" which is economics. The article is about organ allocation policy, experimental game, decision to donate. It's framed as experimental economics (policy, incentives). So primary cluster: economics_business. Confidence high, maybe 0.98.

Is there secondary? Could be health sciences (public health) but it's economics framing. The article is about organ donation behavior, could be also psychology (decision making) but it's in economics journal, so primary economics. Might assign secondary to health_sciences_general? But guidelines: only assign secondary if genuinely spans two disciplines. This is about organ allocation policy, health policy, but the core contribution is economic incentives. Could be also public administration? But likely just economics. So secondary null.

Return JSON.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1017/epi.2013.23,"Abstract We report experimental results showing that participants are more likely to attribute knowledge in familiar Gettier cases when the would-be knowers are performing actions that are negative in some way (e.g. harmful, blameworthy, norm-violating) than when they are performing positive or neutral actions. Our experiments bring together important elements from the Gettier case literature in epistemology and the Knobe effect literature in experimental philosophy and reveal new insights into folk patterns of knowledge attribution.",GETTIERIZED KNOBE EFFECTS,Episteme,philosophy,0.98,NA,NA,"We need to classify article. Journal title: ""Episteme"". That sounds like a philosophy journal, likely epistemology. So cluster: philosophy.

Article is about experimental philosophy, Gettier cases, Knobe effect. That's philosophy (experimental philosophy). So primary cluster: philosophy.

Confidence high, maybe 0.98.

Secondary? Could be psychology because experimental work with participants, but it's about folk intuitions, experimental philosophy often intersects with psychology but the journal is philosophy. The core contribution is to epistemology and experimental philosophy, which belongs to philosophy. Might also be psychology (cognitive) but not primary. According to guidelines, assign secondary only if genuinely spans two disciplines. Here it's experimental philosophy, which is within philosophy. So no secondary.

Return JSON.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1037/0022-3514.94.2.94.2.231,"Empirical evidence on selective exposure to information after decisions is contradictory: Whereas many studies have found a preference for information that is consistent with one's prior decision, some have found a preference for inconsistent information. The authors propose that different available information quantities moderate these contradictory findings. Four studies confirmed this expectation. When confronted with 10 pieces of information, decision makers systematically preferred decision-consistent information, whereas when confronted with only 2 pieces of information, they strongly preferred decision-inconsistent information (Study 1). This effect was not due to differences in processing complexity (Study 2) or dissonance processes (Study 3) but could be traced back to different salient selection criteria: When confronted with 2 pieces of information, the salient selection criterion was information direction (consistent vs. inconsistent), which caused a preference for inconsistent information. In contrast, when confronted with more than 2 pieces of information, the salient selection criterion was expected information quality, which caused a preference for consistent information (Study 4).",Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.,Journal of Personality and Social Psychology,psychology,0.98,NA,NA,"We need to classify based on journal title. Journal of Personality and Social Psychology is a psychology journal (social psychology). So primary cluster: psychology.

Check if any multidisciplinary? The article is about decision makers, selective exposure, information quantity. It's social psychology, decision making. Could also be economics (behavioral economics) but it's framed in psychological terms (preference for consistent/inconsistent info). Journal is psychology, so primary cluster psychology.

Confidence high, maybe 0.98.

No secondary.

Return JSON.",social_psychology,0.95,NA,NA,"We need to classify. The article is about selective exposure, decision makers' preference for consistent/inconsistent information, moderated by information quantity. This is about decision making, information selection, likely falls under Social Psychology? Journal is Journal of Personality and Social Psychology, which is a social psychology journal. The topic is selective exposure, attitudes, information seeking, which is classic social psychology. Could also be cognitive psychology (information processing) but the journal suggests social. The description: ""Attitudes, persuasion, social influence, stereotypes, prejudice, group dynamics, social identity, social cognition, close relationships"". Selective exposure is about attitude-consistency, social cognition. So primary field: social_psychology.

Confidence high, maybe 0.95.

Secondary? Could be cognitive_psychology because it deals with information processing and decision making. But the core contribution is about selective exposure, a social phenomenon. Might not need secondary. So secondary null.

Return JSON.",social_psychology,0.95,NA,NA,"We need to classify. The article is about selective exposure, decision makers' preference for consistent/inconsistent information, moderated by information quantity. This is about decision making, information selection, likely falls under Social Psychology? Journal is Journal of Personality and Social Psychology, which is a social psychology journal. The topic is selective exposure, attitudes, information seeking, which is classic social psychology. Could also be cognitive psychology (information processing) but the journal suggests social. The description: ""Attitudes, persuasion, social influence, stereotypes, prejudice, group dynamics, social identity, social cognition, close relationships"". Selective exposure is about attitude-consistency, social cognition. So primary field: social_psychology.

Confidence high, maybe 0.95.

Secondary? Could be cognitive_psychology because it deals with information processing and decision making. But the core contribution is about selective exposure, a social phenomenon. Might not need secondary. So secondary null.

Return JSON."
10.1037/0278-7393.34.2.399,"Recent studies of visual statistical learning (VSL) have demonstrated that statistical regularities in sequences of visual stimuli can be automatically extracted, even without intent or awareness. Despite much work on this topic, however, several fundamental questions remain about the nature of VSL. In particular, previous experiments have not explored the underlying units over which VSL operates. In a sequence of colored shapes, for example, does VSL operate over each feature dimension independently, or over multidimensional objects in which color and shape are bound together? The studies reported here demonstrate that VSL can be both object-based and feature-based, in systematic ways based on how different feature dimensions covary. For example, when each shape covaried perfectly with a particular color, VSL was object-based: Observers expressed robust VSL for colored-shape sub-sequences at test but failed when the test items consisted of monochromatic shapes or color patches. When shape and color pairs were partially decoupled during learning, however, VSL operated over features: Observers expressed robust VSL when the feature dimensions were tested separately. These results suggest that VSL is object-based, but that sensitivity to feature correlations in multidimensional sequences (possibly another form of VSL) may in turn help define what counts as an object.",Multidimensional visual statistical learning.,Journal of Experimental Psychology Learning Memory and Cognition,psychology,0.98,NA,NA,"We need to classify this article. Journal: ""Journal of Experimental Psychology Learning Memory and Cognition"". That's a psychology journal, specifically experimental psychology focusing on learning, memory, cognition. So primary cluster: psychology.

Check if any secondary? The article is about visual statistical learning, which is cognitive psychology. No multidisciplinary. So primary cluster = ""psychology"". Confidence high, maybe 0.98.

Return JSON with secondary null.

",cognitive_psychology,0.97,NA,NA,"We need to classify. The article is about visual statistical learning, object-based vs feature-based, perception, learning, memory. Journal is Journal of Experimental Psychology: Learning, Memory, and Cognition. That's a cognitive psychology journal. So primary field: cognitive_psychology. Confidence high, maybe 0.97. No secondary. Return JSON.",cognitive_psychology,0.97,NA,NA,"We need to classify. The article is about visual statistical learning, object-based vs feature-based, perception, learning, memory. Journal is Journal of Experimental Psychology: Learning, Memory, and Cognition. That's a cognitive psychology journal. So primary field: cognitive_psychology. Confidence high, maybe 0.97. No secondary. Return JSON."
10.1037/0022-3514.94.4.615,"This research demonstrates that people at risk of devaluation based on group membership are attuned to cues that signal social identity contingencies--judgments, stereotypes, opportunities, restrictions, and treatments that are tied to one's social identity in a given setting. In 3 experiments, African American professionals were attuned to minority representation and diversity philosophy cues when they were presented as a part of workplace settings. Low minority representation cues coupled with colorblindness (as opposed to valuing diversity) led African American professionals to perceive threatening identity contingencies and to distrust the setting (Experiment 1). The authors then verified that the mechanism mediating the effect of setting cues on trust was identity contingent evaluations (Experiments 2 & 3). The power of social identity contingencies as they relate to underrepresented groups in mainstream institutions is discussed.",Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,Journal of Personality and Social Psychology,psychology,0.98,NA,NA,"We need to classify. Journal: Journal of Personality and Social Psychology. That's a psychology journal, specifically social psychology. So primary cluster: psychology.

Check if any multidisciplinary? The article deals with social identity, diversity cues, workplace, maybe also sociology? But it's in a psychology journal, focusing on individual-level perceptions, identity contingencies, trust. That's psychology (social). So primary cluster: ""psychology"". Confidence high, maybe 0.98.

Secondary? Could be sociology, but not needed. Probably just psychology.

Return JSON.",social_psychology,0.97,NA,NA,"We need to classify. The article is about social identity contingencies, diversity cues, threat/safety for African Americans in mainstream institutions. Journal is Journal of Personality and Social Psychology, which is a social psychology journal (though also personality). The content focuses on social identity, stereotypes, group dynamics, trust, workplace setting but the focus is on social identity and threat, not on work-specific constructs like leadership, burnout. So it's Social Psychology.

Check occupational: The workplace is setting but the constructs are about identity threat, not work-specific constructs. According to guidelines, workplace as convenient setting → classify by theory domain, i.e., Social Psychology. So primary field: social_psychology.

Confidence high, maybe 0.97.

Secondary? Could also be differential/personality? Journal includes personality, but article is about social identity, not personality traits. Could be developmental? No. So secondary null.

Return JSON.",social_psychology,0.97,NA,NA,"We need to classify. The article is about social identity contingencies, diversity cues, threat/safety for African Americans in mainstream institutions. Journal is Journal of Personality and Social Psychology, which is a social psychology journal (though also personality). The content focuses on social identity, stereotypes, group dynamics, trust, workplace setting but the focus is on social identity and threat, not on work-specific constructs like leadership, burnout. So it's Social Psychology.

Check occupational: The workplace is setting but the constructs are about identity threat, not work-specific constructs. According to guidelines, workplace as convenient setting → classify by theory domain, i.e., Social Psychology. So primary field: social_psychology.

Confidence high, maybe 0.97.

Secondary? Could also be differential/personality? Journal includes personality, but article is about social identity, not personality traits. Could be developmental? No. So secondary null.

Return JSON."
