doi,abstract,title,source_display_name,rationale_cluster,cluster_id,cluster_label,confidence_cluster,rationale_field,field_id,field_label,confidence_field
10.1037/pspi0000109,"Humility is a foundational virtue that counters selfish inclinations such as entitlement, arrogance, and narcissism (Tangney, 2000). We hypothesize that experiences of awe promote greater humility. Guided by an appraisal-tendency framework of emotion, we propose that when individuals encounter an entity that is vast and challenges their worldview, they feel awe, which leads to self-diminishment and subsequently humility. In support of these claims, awe-prone individuals were rated as more humble by friends (Study 1) and reported greater humility across a 2-week period (Study 2), controlling for other positive emotions. Inducing awe led participants to present a more balanced view of their strengths and weaknesses to others (Study 3) and acknowledge, to a greater degree, the contribution of outside forces in their own personal accomplishments (Study 4), compared with neutral and positive control conditions. Finally, an awe-inducing expansive view elicited greater reported humility than a neutral view (Study 5). We also elucidated the process by which awe leads to humility. Feelings of awe mediated the relationship between appraisals (perceptions of vastness and a challenge to one's world view) and humility (Study 4), and self-diminishment mediated the relationship between awe and humility (Study 5). Taken together, these results reveal that awe offers one path to greater humility. (PsycINFO Database Record",Awe and humility.,Journal of Personality and Social Psychology,"The article investigates emotional and personality constructs (awe, humility, self-diminishment) using psychological theory (appraisal-tendency framework) and experimental/longitudinal methods, published in a core psychology journal. This squarely places it in social/personality psychology within the broader Psychology cluster.",psychology,Psychology,1,"The article examines how a specific emotion (awe) influences a social-moral trait (humility), using an appraisal-tendency framework and focusing on interpersonal self-presentation and acknowledgment of others’ contributions. This is squarely within social psychology’s concern with emotions, self, and social behavior, and the journal is a core social psychology outlet.",social_psychology,Social Psychology,0.97
10.5840/jphil20111081238,"Causation, Norm Violation and Culpable ControlHuman brains do spectacular things: They solve complex logical puzzles, compose symphonic masterpieces, conceive technological marvels, and create enduring artworks, for starters.But before they can embark on these prodigies, human brains must achieve something that they share in common with all brains-they must evaluate and differentiate which creatures, objects, and conditions will facilitate their prospects and well-being, and which will do them harm.Evaluation is the most fundamental component of human judgment 1 and one of the most important cognitive capacities for survival.Virtually all meaningful human actions are automatically evaluated. 2These evaluative reactions intrude on the judgments and attributions that people make about their own and others' behavior.So, when people make focal judgments about the components of a human act, such as whether it caused a particular outcome, whether the outcome was foreseen or foreseeable, whether the action was intentional or involuntary, and whether incapacities or situational constraints excuse or mitigate it, they are influenced by their peripheral evaluative reactions to the actor, the actor's behavior, or the outcomes that ensue. 3 As a result, when people are asked to identify, for example, the primary cause of an event, they accord privileged status to actions that arouse positive or negative evaluations.In this way, causal attributions reflect a desire to praise or denigrate those whose actions we applaud or deride.","Causation, Norm Violation, and Culpable Control",The Journal of Philosophy,"The article analyzes how people make causal and responsibility judgments, focusing on evaluative reactions, norm violations, and culpable control—core topics in moral and social cognition. It is framed as a theoretical/empirical account of human judgment processes rather than a purely normative or metaphysical treatment of causation, so it fits best in Psychology rather than Philosophy despite the journal venue.",psychology,Psychology,0.78,"The article analyzes how people make causal and responsibility judgments about others’ actions, focusing on evaluative reactions, norm violations, and attributions of culpable control. This is squarely about social judgment and attribution processes—core topics in social cognition and social psychology rather than general cognition or philosophy of mind alone.",social_psychology,Social Psychology,0.86
10.1073/pnas.1601280113,"Significance Human prosociality presents an evolutionary puzzle, and reciprocity has emerged as a dominant explanation: cooperating today can bring benefits tomorrow. Reciprocity theories clearly predict that people should only cooperate when the benefits outweigh the costs, and thus that the decision to cooperate should always depend on a cost–benefit analysis. Yet human cooperation can be very uncalculating: good friends grant favors without asking questions, romantic love “blinds” us to the costs of devotion, and ethical principles make universal moral prescriptions. Here, we provide the first evidence, to our knowledge, that reputation effects drive uncalculating cooperation. We demonstrate, using economic game experiments, that people engage in uncalculating cooperation to signal that they can be relied upon to cooperate in the future.",Uncalculating cooperation is used to signal trustworthiness,Proceedings of the National Academy of Sciences,"The paper studies human prosocial behavior and cooperation using economic game experiments, focusing on psychological constructs like trustworthiness signaling and reputation. Although it uses economic games, the core contribution is to understanding human social/psychological mechanisms rather than markets or utility in an economics framework, so it best fits Psychology (social/experimental psychology).",psychology,Psychology,0.86,"The article examines human cooperation, prosociality, reciprocity, and reputation signaling using economic games, focusing on how people use uncalculating cooperation to signal trustworthiness to others. These are core topics in social cognition, social influence, and interpersonal behavior, fitting squarely within social psychology rather than cognitive or economic psychology.",social_psychology,Social Psychology,0.9
10.1073/pnas.1722664115,"Significance Scientific communications about climate change are frequently misinterpreted due to motivated reasoning, which leads some people to misconstrue climate data in ways that conflict with the intended message of climate scientists. Attempts to reduce partisan bias through bipartisan communication networks have found that exposure to diverse political views can exacerbate bias. Here, we find that belief exchange in structured bipartisan networks can significantly improve the ability of both conservatives and liberals to interpret climate data, eliminating belief polarization. We also find that social learning can be reduced, and polarization maintained, when the salience of partisanship is increased, either through exposure to the logos of political parties or through exposure to political identity markers.",Social learning and partisan bias in the interpretation of climate trends,Proceedings of the National Academy of Sciences,"The article studies how individuals interpret climate data under partisan bias and how social learning in bipartisan networks affects belief polarization, using concepts like motivated reasoning and social learning at the individual level. This is primarily a psychological investigation of cognition and bias in a political context, fitting best into Psychology rather than Political Science or Media Studies.",psychology,Psychology,0.86,"The article focuses on partisan bias, motivated reasoning, belief polarization, and how social learning in bipartisan networks affects interpretation of climate data—core topics in social cognition, attitudes, and intergroup/partisan dynamics. The primary contribution is about social influence and identity-based processing of information, not climate science per se, so it best fits Social Psychology.",social_psychology,Social Psychology,0.93
10.1037/a0031047,"When people are the victims of greed or recipients of generosity, their first impulse is often to pay back that behavior in kind. What happens when people cannot reciprocate, but instead have the chance to be cruel or kind to someone entirely different--to pay it forward? In 5 experiments, participants received greedy, equal, or generous divisions of money or labor from an anonymous person and then divided additional resources with a new anonymous person. While equal treatment was paid forward in kind, greed was paid forward more than generosity. This asymmetry was driven by negative affect, such that a positive affect intervention disrupted the tendency to pay greed forward. Implications for models of generalized reciprocity are discussed.",Paying it forward: Generalized reciprocity and the limits of generosity.,Journal of Experimental Psychology General,"The article uses controlled experiments to study affect, reciprocity, and prosocial/antisocial behavior at the individual level, grounded in psychological constructs and published in a core psychology journal, so it clearly belongs to psychology rather than economics or sociology.",psychology,Psychology,1,"The article examines how prior experiences of greed or generosity influence subsequent prosocial or antisocial behavior toward others, focusing on generalized reciprocity, affect, and social interaction patterns. These are core topics in social influence and prosocial behavior, fitting squarely within social psychology rather than cognitive or general psychology.",social_psychology,Social Psychology,0.96
10.1073/pnas.1523586113,"Significance We identify a consistent reduction in the clarity and vividness of people’s memory of their past unethical actions, which explains why they behave dishonestly repeatedly over time. Across nine studies using diverse sample populations and more than 2,100 participants, we find that, as compared with people who engaged in ethical behavior and those who engaged in positive or negative actions, people who acted unethically are the least likely to remember the details of their actions. That is, people experience unethical amnesia: unethical actions tend to be forgotten and, when remembered, memories of unethical behavior become less clear and vivid over time than memories of other types of behaviors. Our findings advance the science of dishonesty, memory, and decision making.",Memories of unethical actions become obfuscated over time,Proceedings of the National Academy of Sciences,"The paper studies individual cognitive and memory processes (clarity and vividness of memories of unethical actions) and their role in repeated dishonest behavior, using psychological experiments. This is squarely within scientific psychology rather than economics or sociology.",psychology,Psychology,0.97,"The article examines how memory clarity and vividness for one’s own unethical actions change over time and how this relates to repeated dishonest behavior, focusing on memory and decision-making mechanisms. This is primarily about cognitive processes (memory, decision making) rather than social relations or clinical issues. Therefore it best fits Cognitive Psychology.",cognitive_psychology,Cognitive Psychology,0.9
10.1037/0022-3514.94.3.495,"People are more forgiving toward transgressors if they see themselves as capable of committing similar offenses, as demonstrated in 7 studies. Methods included hypothetical scenarios, actual recalled offenses, individual and group processes, and correlational and experimental designs. Three factors mediated the link between personal capability and forgiveness: seeing the other's offense as less severe, greater empathic understanding, and perceiving oneself as similar to the transgressor. In terms of predicting forgiveness, it was important that people's own offenses were similar to the target offense in terms of both severity and type. The personal capability effect was independent of other established predictors of forgiveness and was more pronounced among men than women.",Not so innocent: Does seeing one's own capability for wrongdoing predict forgiveness?,Journal of Personality and Social Psychology,"The article investigates individual-level psychological processes (perceived capability for wrongdoing, empathy, perceived similarity) predicting forgiveness, using experimental and correlational designs within a personality/social psychology framework. This clearly situates it in psychology rather than sociology or other social sciences.",psychology,Psychology,1,"The article examines forgiveness, empathy, perceived similarity, and judgments of offense severity in interpersonal transgressions, all core topics in social cognition and interpersonal relations. The journal is also a flagship social psychology outlet, reinforcing that the primary framing is social psychological rather than personality or clinical.",social_psychology,Social Psychology,0.97
10.1073/pnas.1607330114,"Significance Lower socioeconomic status (SES) has been linked to increased risk of obesity. This relationship is generally assumed to be a product of low financial resources or greater stress associated with low SES that promotes unhealthy diets and lifestyles. We demonstrate here that the mere subjective experience of being lower in SES relative to others is alone sufficient to causally elicit behaviors that may risk obesity (e.g., preference, selection, and intake of greater calories), independent of actual economic deprivation or stress from being subordinated. Among social species, the physiological/psychological systems regulating hunger may have been adapted to be sensitive to perceived deprivation of critical social, material, and symbolic resources that underlie social class in addition to caloric deprivation.",Mere experience of low subjective socioeconomic status stimulates appetite and food intake,Proceedings of the National Academy of Sciences,"The article experimentally examines how subjective socioeconomic status influences appetite and caloric intake, focusing on psychological mechanisms (perceived deprivation, hunger regulation) rather than economic modeling or social-structural analysis. This aligns best with social/health psychology within the Psychology cluster.",psychology,Psychology,0.9,"The article examines how perceived low socioeconomic status influences eating behavior and caloric intake, focusing on social comparison, subjective status, and their psychological/behavioral consequences. This is fundamentally about social cognition and the impact of social hierarchy on behavior, fitting squarely within social psychology rather than clinical, cognitive, or health-only domains.",social_psychology,Social Psychology,0.9
10.1017/s1366728914000273,"Many bilinguals routinely switch between their languages, yet mixed evidence exists about the transfer of language switching skills to broader domains that require attentional control such as task switching. Monolingual and bilingual young adults performed a nonverbal task-switching paradigm in which they viewed colored pictures of animals and indicated either the animal or its color in response to a cue. Monolinguals and bilinguals performed similarly when switching between tasks (local switch cost) in a mixed-task block, but bilinguals demonstrated a smaller mixing effect (global switch cost) than monolinguals, indicating better ability to reconfigure stimulus–response associations. These results suggest that regular practice using multiple languages confers a broader executive function advantage shown as improved flexibility in task switching.",Flexibility in task switching by monolinguals and bilinguals,Bilingualism Language and Cognition,"The article studies executive functions and attentional control (task switching) in monolingual vs bilingual individuals using a nonverbal cognitive paradigm, which is squarely within experimental cognitive psychology rather than linguistics or education.",psychology,Psychology,0.97,"The article examines executive functions (attentional control, task switching, switch costs) using a nonverbal task-switching paradigm, focusing on cognitive flexibility differences between monolinguals and bilinguals. The core constructs and methods are squarely in perception/attention and executive control, which fits cognitive psychology rather than social, developmental, or educational domains.",cognitive_psychology,Cognitive Psychology,0.97
10.1177/0956797611414726,"There is scant evidence that incidental cues in the environment significantly alter people’s political judgments and behavior in a durable way. We report that a brief exposure to the American flag led to a shift toward Republican beliefs, attitudes, and voting behavior among both Republican and Democratic participants, despite their overwhelming belief that exposure to the flag would not influence their behavior. In Experiment 1, which was conducted online during the 2008 U.S. presidential election, a single exposure to an American flag resulted in a significant increase in participants’ Republican voting intentions, voting behavior, political beliefs, and implicit and explicit attitudes, with some effects lasting 8 months after the exposure to the prime. In Experiment 2, we replicated the findings more than a year into the current Democratic presidential term. These results constitute the first evidence that nonconscious priming effects from exposure to a national flag can bias the citizenry toward one political party and can have considerable durability.",A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later,Psychological Science,"The article uses experimental methods and concepts from social/cognitive psychology (nonconscious priming, attitudes, implicit/explicit measures) to study how a symbolic cue affects political judgments, published in a psychology journal. The core contribution is psychological mechanisms of attitude change, not political institutions or systems, so it fits Psychology rather than Political Science.",psychology,Psychology,1,"The article examines how an incidental symbolic cue (the American flag) nonconsciously influences political attitudes, voting intentions, and behavior, focusing on attitudes, social influence, and implicit/explicit evaluations—core topics in social psychology.",social_psychology,Social Psychology,0.97
10.1073/pnas.1610834113,"Significance Political polarization on important issues can have dire consequences for society, and divisions regarding the issue of climate change could be particularly catastrophic. Building on research in social cognition and psychology, we show that temporal comparison processes largely explain the political gap in respondents’ attitudes towards and behaviors regarding climate change. We found that conservatives’ proenvironmental attitudes and behaviors improved consistently and drastically when we presented messages that compared the environment today with that of the past. This research shows how ideological differences can arise from basic psychological processes, demonstrates how such differences can be overcome by framing a message consistent with these basic processes, and provides a way to market the science behind climate change more effectively.",Past-focused environmental comparisons promote proenvironmental outcomes for conservatives,Proceedings of the National Academy of Sciences,"The article investigates how temporal comparison framing affects conservatives’ proenvironmental attitudes and behaviors, explicitly grounding the work in social cognition and psychological processes. The core contribution is to psychological theory about message framing and ideology-linked cognition, not to political institutions or policy design, so it best fits Psychology.",psychology,Psychology,0.93,"The article examines political ideology, attitudes toward climate change, message framing, and temporal comparison processes, all core topics in social cognition and persuasion. The focus is on how to reduce ideological gaps in environmental attitudes via framing, which squarely fits within social psychological research on attitudes and social influence rather than other subfields.",social_psychology,Social Psychology,0.97
10.1073/pnas.1707040114,"Significance People often make decisions with consequences that unfold over time. When facing such intertemporal choices, people use different search strategies. We examine how these search strategies differ and how they relate to patience in intertemporal choice. We demonstrate that search varies substantially across individuals and identify two main search strategies—comparative or integrative search. Importantly, comparative search correlates with greater patience and higher susceptibility to contextual influences on choice. We manipulated search using an unobtrusive technique, revealing a causal relationship between strategy and choice. Comparative searchers make more patient choices and exhibit larger framing effects than integrative searchers. An understanding of how differences in psychological processes change discounting can inform the design of behavioral interventions to improve consumer welfare.",Search predicts and changes patience in intertemporal choice,Proceedings of the National Academy of Sciences,"The article studies individual cognitive search strategies in intertemporal choice, their relation to patience, and experimentally manipulates these psychological processes, all within a behavioural decision-making framework. The focus is on psychological mechanisms (search strategies, framing effects, discounting) rather than economic modeling of markets or utility. Therefore it best fits Psychology.",psychology,Psychology,0.9,"The article studies intertemporal choice, discounting, and how different information search strategies (comparative vs. integrative) affect patience and susceptibility to framing—core topics in judgment and decision making and cognitive processes underlying choice. The focus is on cognitive mechanisms of decision making rather than social interaction or clinical issues, so it best fits cognitive psychology.",cognitive_psychology,Cognitive Psychology,0.96
